time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,temperature,pressure,VOC,CO2,Humidity
2025/03/21-00:00:00,1860,-318,4554,441,321,-270,273,-138,-222,24.73,996.55,0.45,500,40.22
2025/03/21-00:00:30,787,455,4042,429,-342,-1685,244,-16,-234,24.8,996.62,0.48,500,40.09
2025/03/21-00:01:00,205,-340,4484,-393,157,-2512,401,-158,-190,25.1,996.88,0.46,500,41.53
2025/03/21-00:01:30,1341,-438,4297,327,-437,-2236,283,-16,-35,25.74,996.69,0.49,500,41.1
2025/03/21-00:02:00,-730,-496,4179,-328,-418,-2645,496,-17,-209,24.77,996.64,0.47,500,40.5
2025/03/21-00:02:30,1403,414,4317,381,-119,-1483,287,-119,-170,25.26,996.8,0.46,500,39.08
2025/03/21-00:03:00,-1355,72,4018,102,-450,1181,249,-146,-10,25.07,996.5,0.48,500,39.63
2025/03/21-00:03:30,-1986,-429,4591,-331,36,-889,321,-119,-68,25.68,996.85,0.48,500,39.1
2025/03/21-00:04:00,-675,319,4306,-341,-38,-313,306,-20,-202,25.66,996.62,0.46,500,39.8
2025/03/21-00:04:30,389,-264,4545,272,165,2643,214,-173,-197,25.76,996.94,0.48,500,40.01
2025/03/21-00:05:00,1752,-59,4308,490,212,2034,348,-221,-32,25.52,996.65,0.5,500,40.24
2025/03/21-00:05:30,-1777,207,4234,-122,201,631,277,-2,-157,24.75,996.59,0.47,500,41.99
2025/03/21-00:06:00,-1884,411,4477,497,-197,-1259,326,-17,-230,24.98,996.63,0.49,500,40.36
2025/03/21-00:06:30,-201,-311,4533,-6,-393,315,375,-230,-193,25.63,996.86,0.47,500,41.43
2025/03/21-00:07:00,-642,65,4348,-371,233,-550,282,-59,-165,25.23,996.79,0.47,500,40.42
2025/03/21-00:07:30,969,-135,4452,484,-77,-1176,304,-49,-59,25.39,996.52,0.49,500,41.53
2025/03/21-00:08:00,-1799,-42,3934,327,69,2026,385,-147,-179,25.42,996.91,0.49,500,40.01
2025/03/21-00:08:30,1746,-57,3929,-274,-209,294,292,-57,-194,25.88,996.95,0.45,500,40.63
2025/03/21-00:09:00,505,-123,4590,-333,-147,612,413,-184,-90,25.37,996.6,0.48,500,41.55
2025/03/21-00:09:30,-204,-193,4164,325,-485,-2997,362,-194,-190,24.95,996.65,0.47,500,39.1
2025/03/21-00:10:00,1745,-303,4451,332,301,-2111,307,-151,-102,24.86,996.59,0.49,500,39.12
2025/03/21-00:10:30,-633,188,4190,-19,0,256,368,-101,-115,25.94,996.6,0.5,500,39.72
2025/03/21-00:11:00,1779,395,3845,-453,389,1182,377,-212,-59,24.69,996.56,0.46,500,41.02
2025/03/21-00:11:30,-1974,233,4082,-100,-173,-926,451,-198,-188,25.86,996.91,0.47,500,41.58
2025/03/21-00:12:00,-627,-205,4302,244,491,1568,262,-4,-48,25.7,996.87,0.47,500,40.16
2025/03/21-00:12:30,1817,26,4177,311,-13,1257,266,-150,-82,24.79,996.83,0.47,500,40.55
2025/03/21-00:13:00,1813,50,4339,485,-74,-1231,455,-90,-211,25.22,996.73,0.48,500,42.0
2025/03/21-00:13:30,253,-331,4022,216,121,1380,302,-196,-134,25.91,996.61,0.45,500,39.88
2025/03/21-00:14:00,734,156,3950,-252,-446,863,304,-124,-19,25.17,996.59,0.49,500,41.33
2025/03/21-00:14:30,662,245,4009,461,84,327,250,-22,-168,25.58,996.9,0.5,500,40.3
2025/03/21-00:15:00,406,214,4366,-227,270,-2188,290,-228,-37,24.83,996.58,0.47,500,40.56
2025/03/21-00:15:30,-1023,435,4142,178,-472,2696,376,-229,-198,25.2,996.66,0.46,500,39.06
2025/03/21-00:16:00,-1161,271,4541,289,304,547,414,-238,-120,24.85,996.7,0.46,500,39.63
2025/03/21-00:16:30,-1047,66,4228,-361,-241,-2984,388,-181,-144,24.92,996.68,0.47,500,41.65
2025/03/21-00:17:00,1742,364,4160,441,224,2477,377,-110,-48,25.0,996.96,0.49,500,39.67
2025/03/21-00:17:30,1445,136,3868,89,159,650,325,-4,-126,24.53,996.64,0.49,500,41.89
2025/03/21-00:18:00,-377,-76,4133,-137,-142,718,468,-3,-65,25.35,996.58,0.49,500,39.19
2025/03/21-00:18:30,-858,132,4047,264,297,-2655,331,-39,-4,24.99,996.51,0.48,500,41.18
2025/03/21-00:19:00,706,21,3814,215,-241,-1612,311,-195,-237,25.12,996.52,0.5,500,40.42
2025/03/21-00:19:30,-1792,385,4106,406,173,1221,387,-126,-50,25.32,996.6,0.46,500,41.95
2025/03/21-00:20:00,-544,-66,4261,321,-206,-2622,223,-92,-27,24.62,996.52,0.48,500,40.74
2025/03/21-00:20:30,-1059,-424,3976,303,-314,-2092,298,-112,-149,25.77,996.97,0.48,500,39.68
2025/03/21-00:21:00,-586,240,3816,168,324,2786,432,-13,-157,24.83,996.9,0.49,500,39.74
2025/03/21-00:21:30,1765,-187,4592,-72,388,-2463,414,-179,-132,25.48,996.71,0.49,500,41.53
